EnrollmentID,StudentID,CourseID,FacultyID
127,S1015,C104,F109
128,S1015,C102,F109
129,S1015,C112,F109
130,S1017,C106,F101
131,S1017,C109,F101
132,S1017,C101,F101
133,S1050,C107,F102
134,S1050,C105,F102
135,S1050,C111,F102
136,S1050,C108,F102
137,S1001,C104,F104
138,S1001,C103,F104
139,S1007,C103,F101
140,S1007,C109,F101
141,S1028,C102,F110
142,S1028,C112,F110
143,S1028,C107,F110
144,S1051,C101,F103
145,S1051,C103,F103
146,S1051,C112,F103
147,S1051,C109,F103
148,S1022,C113,F101
149,S1022,C114,F101
150,S1022,C109,F101
151,S1078,C110,F104
152,S1078,C108,F104
153,S1078,C105,F104
154,S1010,C109,F107
155,S1010,C115,F107
156,S1044,C102,F102
157,S1044,C110,F102
158,S1075,C105,F106
159,S1075,C107,F106
160,S1075,C110,F106
161,S1037,C108,F106
162,S1037,C113,F106
163,S1037,C104,F106
164,S1037,C114,F106
165,S1003,C108,F105
166,S1003,C104,F105
167,S1040,C103,F110
168,S1040,C115,F110
169,S1042,C111,F102
170,S1042,C114,F102
171,S1042,C103,F102
172,S1067,C112,F110
173,S1067,C113,F110
174,S1067,C110,F110
175,S1046,C109,F103
176,S1046,C105,F103
177,S1032,C103,F105
178,S1032,C102,F105
179,S1014,C111,F105
180,S1014,C107,F105
181,S1011,C101,F103
182,S1011,C113,F103
183,S1011,C105,F103
184,S1047,C115,F102
185,S1047,C112,F102
186,S1047,C109,F102
187,S1005,C109,F106
188,S1005,C102,F106
189,S1100,C105,F108
190,S1100,C110,F108
191,S1100,C106,F108
192,S1054,C111,F105
193,S1054,C106,F105
194,S1065,C113,F102
195,S1065,C115,F102
196,S1065,C102,F102
197,S1069,C105,F102
198,S1069,C108,F102
199,S1052,C102,F107
200,S1052,C110,F107
201,S1052,C101,F107
202,S1062,C110,F105
203,S1062,C104,F105
204,S1058,C111,F105
205,S1058,C102,F105
206,S1049,C111,F102
207,S1049,C109,F102
208,S1049,C106,F102
209,S1055,C111,F110
210,S1055,C109,F110
211,S1055,C103,F110
212,S1055,C108,F110
213,S1020,C115,F108
214,S1020,C111,F108
215,S1033,C101,F106
216,S1033,C103,F106
217,S1033,C104,F106
218,S1031,C107,F104
219,S1031,C109,F104
220,S1031,C111,F104
221,S1031,C102,F104
222,S1039,C112,F101
223,S1039,C114,F101
224,S1039,C103,F101
225,S1082,C108,F105
226,S1082,C115,F105
227,S1082,C113,F105
228,S1018,C110,F105
229,S1018,C114,F105
230,S1018,C106,F105
231,S1018,C107,F105
232,S1064,C115,F103
233,S1064,C102,F103
234,S1053,C102,F102
235,S1053,C114,F102
236,S1053,C101,F102
237,S1053,C108,F102
238,S1009,C102,F104
239,S1009,C108,F104
240,S1089,C108,F103
241,S1089,C109,F103
242,S1089,C105,F103
243,S1038,C113,F105
244,S1038,C103,F105
245,S1038,C114,F105
246,S1038,C106,F105
247,S1057,C111,F105
248,S1057,C103,F105
249,S1027,C106,F101
250,S1027,C102,F101
251,S1027,C104,F101
252,S1091,C115,F106
253,S1091,C104,F106
254,S1091,C113,F106
255,S1060,C104,F101
256,S1060,C109,F101
257,S1060,C105,F101
258,S1094,C109,F103
259,S1094,C105,F103
260,S1004,C111,F101
261,S1004,C113,F101
262,S1071,C109,F110
263,S1071,C105,F110
264,S1071,C111,F110
265,S1071,C102,F110
266,S1088,C109,F104
267,S1088,C108,F104
268,S1024,C105,F104
269,S1024,C108,F104
270,S1070,C103,F106
271,S1070,C115,F106
272,S1070,C108,F106
273,S1070,C111,F106
274,S1076,C111,F108
275,S1076,C104,F108
276,S1076,C107,F108
277,S1026,C109,F103
278,S1073,C111,F103
279,S1073,C107,F103
280,S1073,C113,F103
281,S1041,C111,F100
282,S1098,C103,F95
283,S1019,C105,F102
284,S1087,C103,F105
285,S1097,C105,F106
286,S1025,C105,F107
287,S1074,C113,F108
288,S1006,C102,F102
289,S1013,C110,F109
290,S1085,C116,F107
291,S1080,C105,F107
292,S1008,C112,F102
293,S1035,C106,F102
294,S1068,C105,F109
295,S1048,C112,F110
296,S1061,C106,F114
297,S1063,C116,F103
298,S1083,C106,F104
299,S1077,C108,F108
300,S1056,C103,F102
301,S1043,C105,F107
302,S1066,C113,F102
303,S1093,C116,F104
304,S1096,C104,F105
305,S1016,C110,F106
306,S1002,C105,F105
307,S1023,C104,F110
308,S1045,C103,F108
309,S1030,C108,F105
310,S1079,C115,F110
311,S1099,C103,F110
312,S1029,C129,F106
313,S1086,C143,F101
314,S1059,C111,F101
315,S1090,C103,F103
316,S1036,C105,F109
317,S1034,C115,F110
318,S1081,C104,F105
319,S1015,C113,F109
320,S1017,C102,F101
321,S1050,C109,F102
322,S1007,C110,F102
323,S1028,C108,F110
324,S1051,C110,F104
325,S1022,C110,F101
326,S1078,C106,F104
327,S1010,C116,F105
328,S1044,C111,F102
329,S1075,C111,F106
330,S1037,C115,F106
331,S1003,C105,F106
332,S1040,C116,F110
333,1001,C303,F101
334,1002,C102,F102
335,1003,C202,F110
336,1004,C103,F109
337,1005,C301,F110
338,1006,C202,F108
339,1007,C103,F101
340,1008,C502,F106
341,1009,C501,F109
342,1010,C103,F107
343,1011,C403,F107
344,1012,C302,F106
345,1013,C402,F104
346,1014,C301,F102
347,1015,C101,F103
348,1016,C303,F108
349,1017,C403,F102
350,1018,C102,F104
351,1019,C203,F104
352,1020,C201,F109
353,1021,C502,F106
354,1022,C302,F104
355,1023,C503,F105
356,1024,C403,F103
357,1025,C101,F102
358,1026,C401,F104
359,1027,C301,F108
360,1028,C303,F106
361,1029,C203,F110
362,1030,C202,F110
363,1031,C501,F107
364,1032,C403,F105
365,1033,C101,F106
366,1034,C502,F109
367,1035,C101,F103
368,1036,C301,F109
369,1037,C403,F101
370,1038,C301,F110
371,1039,C202,F109
372,1040,C302,F109
373,1041,C302,F101
374,1042,C403,F109
375,1043,C301,F107
376,1044,C303,F109
377,1045,C102,F102
378,1046,C302,F109
379,1047,C102,F105
380,1048,C102,F110
381,1049,C402,F110
382,1050,C401,F102
383,1051,C101,F105
384,1052,C102,F108
385,1053,C102,F104
386,1054,C203,F103
387,1055,C103,F106
388,1056,C401,F110
389,1057,C302,F108
390,1058,C402,F104
391,1059,C403,F106
392,1060,C201,F104
393,1061,C501,F107
394,1062,C503,F104
395,1063,C501,F104
396,1064,C401,F106
397,1065,C301,F104
398,1066,C103,F108
399,1067,C401,F105
400,1068,C502,F106
401,1069,C102,F101
402,1070,C203,F110
403,1071,C303,F101
404,1072,C203,F103
405,1073,C402,F106
406,1074,C101,F107
407,1075,C403,F108
408,1076,C501,F110
409,1077,C402,F101
410,1078,C101,F107
411,1079,C102,F105
412,1080,C202,F108
413,1081,C102,F107
414,1082,C403,F105
415,1083,C403,F103
416,1084,C503,F103
417,1085,C201,F109
418,1086,C402,F102
419,1087,C503,F110
420,1088,C303,F105
421,1089,C403,F104
422,1090,C201,F105
423,1091,C202,F108
424,1092,C301,F109
425,1093,C303,F107
426,1094,C403,F109
427,1095,C101,F108
428,1096,C302,F105
429,1097,C502,F107
430,1098,C101,F104
431,1099,C203,F102
432,1100,C503,F106
433,1101,C302,F109
434,1102,C202,F101
435,1103,C201,F107
436,1104,C302,F109
437,1105,C502,F103
438,1106,C302,F106
439,1107,C103,F107
440,1108,C402,F108
441,1109,C201,F108
442,1110,C201,F102
443,1111,C402,F110
444,1112,C301,F109
445,1113,C303,F102
446,1114,C401,F106
447,1115,C502,F102
448,1116,C403,F103
449,1117,C401,F103
450,1118,C502,F101
451,1119,C402,F103
452,1120,C102,F107
453,1121,C202,F110
454,1122,C503,F105
455,1123,C402,F102
456,1124,C202,F105
457,1125,C401,F107
458,1126,C101,F105
459,1127,C403,F101
460,1128,C103,F101
461,1129,C102,F105
462,1130,C501,F106
463,1131,C203,F101
464,1132,C501,F110
465,1133,C102,F104
466,1134,C401,F102
467,1135,C302,F106
468,1136,C102,F107
469,1137,C203,F108
470,1138,C503,F110
471,1139,C101,F107
472,1140,C301,F110
473,1141,C101,F101
474,1142,C201,F107
475,1143,C502,F109
476,1144,C203,F110
477,1145,C403,F109
478,1146,C501,F103
479,1147,C403,F103
480,1148,C302,F106
481,1149,C202,F108
482,1150,C102,F108
483,1151,C201,F104
484,1152,C402,F102
485,1153,C403,F101
486,1154,C403,F101
487,1155,C103,F104
488,1156,C201,F104
489,1157,C103,F107
490,1158,C103,F110
491,1159,C402,F101
492,1160,C102,F104
493,1161,C102,F108
494,1162,C502,F110
495,1163,C502,F102
496,1164,C102,F102
497,1165,C201,F107
498,1166,C403,F108
499,1167,C503,F102
500,1168,C403,F106
501,1169,C103,F106
502,1170,C102,F109
503,1171,C402,F105
504,1172,C203,F107
505,1173,C103,F109
506,1174,C202,F102
507,1175,C203,F101
508,1176,C501,F107
509,1177,C203,F101
510,1178,C102,F101
511,1179,C403,F105
512,1180,C401,F108
513,1181,C303,F109
514,1182,C302,F110
515,1183,C202,F105
516,1184,C402,F105
517,1185,C101,F109
518,1186,C202,F101
519,1187,C201,F103
520,1188,C103,F103
521,1189,C303,F103
522,1190,C101,F105
523,1191,C202,F104
524,1192,C302,F104
525,1193,C202,F105
526,1194,C402,F110
527,1195,C101,F102
528,1196,C502,F101
529,1197,C403,F107
530,1198,C201,F102
531,1199,C303,F104
532,1200,C403,F103
