ExamID,EnrollmentID,ExamType
432,17,Viva
433,284,Unit Test 2
434,19,Unit Test 2
435,20,Viva
436,21,Practical
437,285,Viva
438,23,Practical
439,286,Unit Test 2
440,25,End Sem
441,287,Unit Test 2
442,27,Unit Test 2
443,28,Practical
444,288,Unit Test 2
445,30,Unit Test 1
446,289,Unit Test 3
447,31,Mid Sem
448,32,End Sem
449,290,Unit Test 3
450,34,Unit Test 1
451,35,Viva
452,36,Practical
453,291,Unit Test 3
454,38,Mid Sem
455,39,Viva
456,40,Mid Sem
457,40,Viva
458,42,Unit Test 2
459,292,Practical
460,44,Viva
461,45,End Sem
462,46,Unit Test 1
463,293,Unit Test 2
464,1,Unit Test 2
465,2,Unit Test 2
466,2,Viva
467,4,Unit Test 1
468,5,Practical
469,281,Viva
470,7,End Sem
471,8,Practical
472,282,Practical
473,10,Unit Test 2
474,11,Viva
475,11,Unit Test 3
476,13,Practical
477,14,Unit Test 1
478,15,End Sem
479,283,End Sem
480,17,Viva
481,284,Unit Test 2
482,19,Unit Test 2
483,20,Viva
484,21,Practical
485,285,Viva
486,23,Practical
487,286,Unit Test 2
488,25,End Sem
489,287,Unit Test 2
490,27,Unit Test 2
491,28,Practical
492,288,Unit Test 2
493,30,Unit Test 1
494,289,Unit Test 3
495,31,Mid Sem
496,32,End Sem
497,290,Unit Test 3
498,34,Unit Test 1
499,35,Viva
500,36,Practical
501,291,Unit Test 3
502,38,Mid Sem
503,39,Viva
504,40,Mid Sem
505,40,Viva
506,42,Unit Test 2
507,292,Practical
508,1,Unit Test 2
509,2,Unit Test 2
510,2,Viva
511,4,Unit Test 1
512,5,Practical
513,281,Viva
514,7,End Sem
515,8,Practical
516,282,Practical
517,10,Unit Test 2
518,11,Viva
519,11,Unit Test 3
520,13,Practical
521,14,Unit Test 1
522,15,End Sem
523,283,End Sem
524,17,Viva
525,284,Unit Test 2
526,19,Unit Test 2
527,20,Viva
528,21,Practical
529,285,Viva
530,23,Practical
531,286,Unit Test 2
532,25,End Sem
533,287,Unit Test 2
534,27,Unit Test 2
535,28,Practical
536,288,Unit Test 2
537,30,Unit Test 1
538,289,Unit Test 3
539,31,Mid Sem
540,32,End Sem
541,290,Unit Test 3
542,34,Unit Test 1
543,35,Viva
544,36,Practical
545,291,Unit Test 3
546,38,Mid Sem
547,39,Viva
548,40,Mid Sem
549,40,Viva
550,42,Unit Test 2
551,292,Practical
552,44,Viva
553,45,End Sem
554,46,Unit Test 1
555,293,Unit Test 2
556,48,Viva
557,49,Practical
558,50,End Sem
559,48,Unit Test 2
560,52,End Sem
561,53,Unit Test 2
562,294,Unit Test 2
563,55,Mid Sem
564,295,End Sem
565,57,End Sem
566,296,Viva
567,59,End Sem
568,60,Unit Test 1
569,61,Viva
570,297,End Sem
571,63,Mid Sem
572,298,End Sem
573,65,Practical
574,66,Unit Test 1
575,67,End Sem
576,65,Viva
577,69,Practical
578,70,End Sem
579,299,Viva
580,72,Unit Test 2
581,73,Unit Test 1
582,74,Unit Test 2
583,300,Viva
584,75,Viva
585,301,Viva
586,77,Unit Test 1
587,78,End Sem
588,78,End Sem
589,80,Mid Sem
590,302,Practical
591,1,Unit Test 2
592,2,Unit Test 2
593,2,Viva
594,4,Unit Test 1
595,5,Practical
596,281,Viva
597,7,End Sem
598,8,Practical
599,282,Practical
600,10,Unit Test 2
601,11,Viva
602,11,Unit Test 3
603,13,Practical
604,14,Unit Test 1
605,15,End Sem
606,283,End Sem
607,17,Viva
608,284,Unit Test 2
609,1,Unit Test 2
610,2,Unit Test 2
611,2,Viva
612,4,Unit Test 1
613,5,Practical
614,281,Viva
615,7,End Sem
616,8,Practical
617,282,Practical
618,10,Unit Test 2
619,11,Viva
620,11,Unit Test 3
621,13,Practical
622,14,Unit Test 1
623,15,End Sem
624,283,End Sem
625,17,Viva
626,284,Unit Test 2
627,19,Unit Test 2
628,20,Viva
629,21,Practical
630,285,Viva
631,23,Practical
632,286,Unit Test 2
633,25,End Sem
634,287,Unit Test 2
635,27,Unit Test 2
636,28,Practical
637,288,Unit Test 2
638,30,Unit Test 1
639,289,Unit Test 3
640,31,Mid Sem
641,32,End Sem
642,290,Unit Test 3
643,34,Unit Test 1
644,35,Viva
645,36,Practical
646,291,Unit Test 3
647,38,Mid Sem
648,39,Viva
649,40,Mid Sem
650,40,Viva
651,42,Unit Test 2
652,292,Practical
653,44,Viva
654,45,End Sem
655,46,Unit Test 1
656,293,Unit Test 2
657,48,Viva
658,49,Practical
659,50,End Sem
660,48,Unit Test 2
661,52,End Sem
662,53,Unit Test 2
663,294,Unit Test 2
664,55,Mid Sem
665,295,End Sem
666,57,End Sem
667,296,Viva
668,59,End Sem
669,60,Unit Test 1
670,61,Viva
671,297,End Sem
672,63,Mid Sem
673,298,End Sem
674,65,Practical
675,66,Unit Test 1
676,67,End Sem
677,65,Viva
678,69,Practical
679,70,End Sem
680,299,Viva
681,72,Unit Test 2
682,73,Unit Test 1
683,74,Unit Test 2
684,300,Viva
685,75,Viva
686,301,Viva
687,77,Unit Test 1
688,78,End Sem
689,78,End Sem
690,80,Mid Sem
691,302,Practical
692,82,Viva
693,303,Viva
694,84,Unit Test 2
695,304,Practical
696,86,Unit Test 1
697,87,End Sem
698,88,Unit Test 1
699,305,End Sem
700,90,Mid Sem
701,306,Mid Sem
702,92,Unit Test 2
703,93,End Sem
704,307,Mid Sem
705,69,Practical
706,70,End Sem
707,299,Viva
708,95,Mid Sem
709,96,Unit Test 1
710,308,End Sem
711,98,Viva
712,99,Unit Test 1
713,309,Unit Test 3
714,101,Mid Sem
715,102,Unit Test 2
716,103,Unit Test 1
717,310,Practical
718,105,Unit Test 2
719,106,End Sem
720,311,Mid Sem
721,108,Unit Test 1
722,312,Unit Test 2
723,110,End Sem
724,313,Practical
725,112,End Sem
726,113,Unit Test 2
727,314,Practical
728,115,Mid Sem
729,315,Unit Test 1
730,117,Practical
731,118,Practical
732,316,Viva
733,120,End Sem
734,317,Practical
735,122,Mid Sem
736,123,Unit Test 2
737,124,Viva
738,318,End Sem
739,126,Practical
740,127,Practical
741,128,Unit Test 2
742,319,End Sem
743,130,Viva
744,131,Mid Sem
745,320,End Sem
746,133,Practical
747,134,Mid Sem
748,135,Unit Test 1
749,321,Mid Sem
750,137,Unit Test 1
751,137,Unit Test 2
752,139,Practical
753,322,Unit Test 3
754,141,End Sem
755,142,Mid Sem
756,323,Mid Sem
757,144,Unit Test 2
758,145,Mid Sem
759,146,Mid Sem
760,324,Viva
761,148,Unit Test 2
762,149,End Sem
763,325,Unit Test 3
764,151,Viva
765,152,End Sem
766,326,Mid Sem
767,95,Mid Sem
768,96,Unit Test 1
769,308,End Sem
770,154,Unit Test 1
771,327,End Sem
772,156,Unit Test 2
773,328,Practical
774,158,Unit Test 1
775,159,Unit Test 1
776,329,Unit Test 3
777,161,Viva
778,162,End Sem
779,163,End Sem
780,330,Viva
781,165,Viva
782,331,Mid Sem
783,167,Viva
784,332,End Sem
785,333,Internal
786,334,Internal
787,335,End Sem
788,336,Internal
789,337,End Sem
790,338,Mid Sem
791,339,Practical
792,340,End Sem
793,341,Internal
794,342,Practical
795,343,Internal
796,344,Practical
797,345,Internal
798,346,Mid Sem
799,347,End Sem
800,348,End Sem
801,349,Practical
802,350,End Sem
803,351,Mid Sem
804,352,End Sem
805,353,Mid Sem
806,354,Internal
807,355,End Sem
808,356,Mid Sem
809,357,End Sem
810,358,Practical
811,359,Mid Sem
812,360,Practical
813,361,Mid Sem
814,362,End Sem
815,363,Mid Sem
816,364,Practical
817,365,Internal
818,366,End Sem
819,367,End Sem
820,368,Mid Sem
821,369,Practical
822,370,End Sem
823,371,Mid Sem
824,372,Internal
825,373,Mid Sem
826,374,End Sem
827,375,Mid Sem
828,376,Practical
829,377,End Sem
830,378,Practical
831,379,Practical
832,380,End Sem
833,381,Mid Sem
834,382,Mid Sem
835,383,Internal
836,384,Internal
837,385,Internal
838,386,Mid Sem
839,387,Practical
840,388,End Sem
841,389,End Sem
842,390,Practical
843,391,Mid Sem
844,392,Mid Sem
845,393,Practical
846,394,End Sem
847,395,Mid Sem
848,396,Internal
849,397,Mid Sem
850,398,Mid Sem
851,399,End Sem
852,400,End Sem
853,401,End Sem
854,402,Practical
855,403,End Sem
856,404,Practical
857,405,Internal
858,406,End Sem
859,407,Practical
860,408,Practical
861,409,End Sem
862,410,Mid Sem
863,411,End Sem
864,412,Mid Sem
865,413,End Sem
866,414,End Sem
867,415,Internal
868,416,Mid Sem
869,417,End Sem
870,418,Practical
871,419,Practical
872,420,Practical
873,421,Practical
874,422,Mid Sem
875,423,Mid Sem
876,424,Practical
877,425,Internal
878,426,Internal
879,427,Mid Sem
880,428,End Sem
881,429,Practical
882,430,Internal
883,431,Mid Sem
884,432,Practical
885,433,Internal
886,434,Practical
887,435,Internal
888,436,End Sem
889,437,Internal
890,438,Mid Sem
891,439,End Sem
892,440,Internal
893,441,Mid Sem
894,442,Internal
895,443,End Sem
896,444,Practical
897,445,End Sem
898,446,End Sem
899,447,Practical
900,448,End Sem
901,449,End Sem
902,450,Mid Sem
903,451,Internal
904,452,Internal
905,453,Practical
906,454,Practical
907,455,Internal
908,456,Practical
909,457,End Sem
910,458,Internal
911,459,Mid Sem
912,460,Practical
913,461,Internal
914,462,Practical
915,463,Mid Sem
916,464,Internal
917,465,Mid Sem
918,466,End Sem
919,467,Mid Sem
920,468,Internal
921,469,Internal
922,470,End Sem
923,471,Internal
924,472,Internal
925,473,End Sem
926,474,End Sem
927,475,Mid Sem
928,476,Mid Sem
929,477,Practical
930,478,End Sem
931,479,Practical
932,480,Mid Sem
933,481,Mid Sem
934,482,Practical
935,483,Practical
936,484,Mid Sem
937,485,End Sem
938,486,End Sem
939,487,Internal
940,488,End Sem
941,489,End Sem
942,490,Internal
943,491,Internal
944,492,End Sem
945,493,Practical
946,494,Practical
947,495,Mid Sem
948,496,End Sem
949,497,Internal
950,498,Internal
951,499,Internal
952,500,End Sem
953,501,Practical
954,502,Internal
955,503,Internal
956,504,End Sem
957,505,End Sem
958,506,End Sem
959,507,Practical
960,508,Practical
961,509,End Sem
962,510,Internal
963,511,End Sem
964,512,Practical
965,513,Practical
966,514,Practical
967,515,End Sem
968,516,Mid Sem
969,517,Internal
970,518,End Sem
971,519,Practical
972,520,Internal
973,521,Practical
974,522,Internal
975,523,End Sem
976,524,Internal
977,525,Internal
978,526,Mid Sem
979,527,Mid Sem
980,528,End Sem
981,529,Practical
982,530,Mid Sem
983,531,Internal
984,532,Practical
