AttendanceID,ExamID,AttendanceStatus
194,194,On Duty
195,195,Late
196,196,On Duty
197,197,Late
198,198,Present
199,199,Late
200,200,Absent
201,201,Present
202,202,Present
203,203,Present
204,204,Absent
205,205,Absent
206,206,Absent
207,207,On Duty
208,208,Late
209,209,Present
210,210,Present
211,211,Absent
212,212,Absent
213,213,Present
214,214,Absent
215,215,Present
216,216,Absent
217,217,Absent
218,218,Late
219,219,Absent
220,220,Absent
221,221,Late
222,222,On Duty
223,223,Present
224,224,Absent
225,225,Present
226,226,Late
227,227,On Duty
228,228,Absent
229,229,Present
230,230,Absent
231,231,Present
232,232,Present
233,233,Absent
234,234,On Duty
235,235,Present
236,236,Present
237,237,Late
238,238,On Duty
239,239,On Duty
240,240,Absent
241,241,On Duty
242,242,On Duty
243,243,Present
244,244,Absent
245,245,Absent
246,246,Late
247,247,Absent
248,248,Absent
249,249,Present
250,250,Absent
251,251,On Duty
252,252,Absent
253,253,Absent
254,254,Absent
255,255,On Duty
256,256,Present
257,257,Late
258,258,Absent
259,259,On Duty
260,260,On Duty
261,261,On Duty
262,262,Late
263,263,Present
264,264,Present
265,265,Present
266,266,Late
267,267,Absent
268,268,Late
269,269,On Duty
270,270,On Duty
271,271,Present
272,272,Absent
273,273,Late
274,274,Present
275,275,On Duty
276,276,On Duty
277,277,Present
278,278,Absent
279,279,Present
280,280,Absent
281,281,Absent
282,282,Absent
283,283,Present
284,284,Late
285,285,Present
286,286,Absent
287,287,Absent
288,288,Absent
289,289,Absent
290,290,Present
291,291,Present
292,292,Present
293,293,Present
294,294,Late
295,295,Present
296,296,Present
297,297,Absent
298,298,Absent
299,299,Absent
300,300,Late
301,301,Present
302,302,Absent
303,303,Late
304,304,Late
305,305,Absent
306,306,Present
307,307,Present
308,308,Absent
309,309,Present
310,310,Late
311,311,Present
312,312,Late
313,313,Present
314,314,Absent
315,315,Absent
316,316,Late
317,317,On Duty
318,318,Present
319,319,Absent
320,320,On Duty
321,321,Present
322,322,Present
323,323,Absent
324,324,Present
325,325,Absent
326,326,Present
327,327,Present
328,328,Present
329,329,Present
330,330,Present
331,331,Absent
332,332,Present
333,333,Present
334,334,Absent
335,335,Present
336,336,Absent
337,337,Absent
338,338,On Duty
339,339,Present
340,340,On Duty
341,341,Present
342,342,Present
343,343,Late
344,344,Absent
345,345,Absent
346,346,Absent
347,347,Absent
348,348,Late
349,349,Present
350,350,Present
351,351,Present
352,352,Absent
353,353,Absent
354,354,Present
355,355,Absent
356,356,On Duty
357,357,Present
358,358,On Duty
359,359,Absent
360,360,Present
361,361,On Duty
362,362,Late
363,363,Absent
364,364,Absent
365,365,Present
366,366,Absent
367,367,Absent
368,368,Absent
369,369,On Duty
370,370,On Duty
371,371,Present
372,372,Present
373,373,Late
374,374,Absent
375,375,Late
376,376,Present
377,377,Absent
378,378,Absent
379,379,Absent
380,380,Late
381,381,Absent
382,382,Present
383,383,Absent
384,384,Late
385,385,Present
386,386,Present
387,387,Absent
388,388,On Duty
389,389,Late
390,390,Absent
391,391,Present
392,392,Absent
393,393,Absent
394,394,Absent
395,395,Late
396,396,On Duty
397,397,Late
398,398,Absent
399,399,On Duty
400,400,Present
401,401,Absent
402,402,On Duty
403,403,Absent
404,404,Present
405,405,Present
406,406,Late
407,407,Present
408,408,Present
409,409,Absent
410,410,Absent
411,411,Absent
412,412,Late
413,413,Present
414,414,Absent
415,415,Late
416,416,Present
417,417,Present
418,418,Late
419,419,Present
420,420,Present
421,421,Absent
422,422,Absent
423,423,Absent
424,424,Late
425,425,Present
426,426,Absent
427,427,Late
428,428,Late
429,429,Absent
430,430,Present
431,431,Present
432,432,Absent
433,433,Present
434,434,Late
435,435,Present
436,436,Late
437,437,Present
438,438,Absent
439,439,Absent
440,440,Late
441,441,On Duty
442,442,Present
443,443,Absent
444,444,On Duty
445,445,Present
446,446,Present
447,447,Absent
448,448,Present
449,449,Absent
450,450,Present
451,451,Present
452,452,Present
453,453,Present
454,454,Present
455,455,Absent
456,456,Present
457,457,Present
458,458,Absent
459,459,Present
460,460,Absent
461,461,Absent
462,462,On Duty
463,463,Present
464,464,Present
465,465,Present
466,466,Late
467,467,Present
468,468,Present
469,469,Absent
470,470,Absent
471,471,Absent
472,472,Late
473,473,Present
474,474,Absent
475,475,Late
476,476,Late
477,477,Absent
478,478,Present
479,479,Present
480,480,Absent
481,481,Present
482,482,Late
483,483,Present
484,484,Late
485,485,Present
486,486,Absent
487,487,Absent
488,488,Late
489,489,On Duty
490,490,Present
491,491,Absent
492,492,On Duty
493,493,Present
494,494,Present
495,495,Absent
496,496,Present
497,497,Absent
498,498,Present
499,499,Present
500,500,Present
501,501,Present
502,502,Present
503,503,Absent
504,504,Present
505,505,Present
506,506,Absent
507,507,Present
508,508,Present
509,509,Present
510,510,Late
511,511,Present
512,512,Present
513,513,Absent
514,514,Absent
515,515,Absent
516,516,Late
517,517,Present
518,518,Absent
519,519,Late
520,520,Late
521,521,Absent
522,522,Present
523,523,Present
524,524,Absent
525,525,Present
526,526,Late
527,527,Present
528,528,Late
529,529,Present
530,530,Absent
531,531,Absent
532,532,Late
533,533,On Duty
534,534,Present
535,535,Absent
536,536,On Duty
537,537,Present
538,538,Present
539,539,Absent
540,540,Present
541,541,Absent
542,542,Present
543,543,Present
544,544,Present
545,545,Present
546,546,Present
547,547,Absent
548,548,Present
549,549,Present
550,550,Absent
551,551,Present
552,552,Absent
553,553,Absent
554,554,On Duty
555,555,Present
556,556,On Duty
557,557,Present
558,558,Present
559,559,Late
560,560,Absent
561,561,Absent
562,562,Absent
563,563,Absent
564,564,Late
565,565,Present
566,566,Present
567,567,Present
568,568,Absent
569,569,Absent
570,570,Present
571,571,Absent
572,572,On Duty
573,573,Present
574,574,On Duty
575,575,Absent
576,576,Present
577,577,On Duty
578,578,Late
579,579,Absent
580,580,Absent
581,581,Present
582,582,Absent
583,583,Absent
584,584,Absent
585,585,On Duty
586,586,On Duty
587,587,Present
588,588,Present
589,589,Late
590,590,Absent
591,591,Present
592,592,Present
593,593,Late
594,594,Present
595,595,Present
596,596,Absent
597,597,Absent
598,598,Absent
599,599,Late
600,600,Present
601,601,Absent
602,602,Late
603,603,Late
604,604,Absent
605,605,Present
606,606,Present
607,607,Absent
608,608,Present
609,609,Present
610,610,Present
611,611,Late
612,612,Present
613,613,Present
614,614,Absent
615,615,Absent
616,616,Absent
617,617,Late
618,618,Present
619,619,Absent
620,620,Late
621,621,Late
622,622,Absent
623,623,Present
624,624,Present
625,625,Absent
626,626,Present
627,627,Late
628,628,Present
629,629,Late
630,630,Present
631,631,Absent
632,632,Absent
633,633,Late
634,634,On Duty
635,635,Present
636,636,Absent
637,637,On Duty
638,638,Present
639,639,Present
640,640,Absent
641,641,Present
642,642,Absent
643,643,Present
644,644,Present
645,645,Present
646,646,Present
647,647,Present
648,648,Absent
649,649,Present
650,650,Present
651,651,Absent
652,652,Present
653,653,Absent
654,654,Absent
655,655,On Duty
656,656,Present
657,657,On Duty
658,658,Present
659,659,Present
660,660,Late
661,661,Absent
662,662,Absent
663,663,Absent
664,664,Absent
665,665,Late
666,666,Present
667,667,Present
668,668,Present
669,669,Absent
670,670,Absent
671,671,Present
672,672,Absent
673,673,On Duty
674,674,Present
675,675,On Duty
676,676,Absent
677,677,Present
678,678,On Duty
679,679,Late
680,680,Absent
681,681,Absent
682,682,Present
683,683,Absent
684,684,Absent
685,685,Absent
686,686,On Duty
687,687,On Duty
688,688,Present
689,689,Present
690,690,Late
691,691,Absent
692,692,Late
693,693,Present
694,694,Absent
695,695,Absent
696,696,Absent
697,697,Late
698,698,Absent
699,699,Present
700,700,Absent
701,701,Late
702,702,Present
703,703,Present
704,704,Absent
705,705,On Duty
706,706,Late
707,707,Absent
708,708,Present
709,709,Absent
710,710,Absent
711,711,Absent
712,712,Late
713,713,On Duty
714,714,Late
715,715,Absent
716,716,On Duty
717,717,Present
718,718,Absent
719,719,On Duty
720,720,Absent
721,721,Present
722,722,Present
723,723,Present
724,724,Present
725,725,Present
726,726,Late
727,727,Late
728,728,Absent
729,729,Absent
730,730,Present
731,731,On Duty
732,732,Present
733,733,Present
734,734,Present
735,735,Late
736,736,Absent
737,737,Present
738,738,Present
739,739,Absent
740,740,Absent
741,741,Late
742,742,Present
743,743,Late
744,744,Present
745,745,Absent
746,746,Present
747,747,Absent
748,748,Absent
749,749,Present
750,750,Absent
751,751,Late
752,752,Late
753,753,Absent
754,754,Present
755,755,Absent
756,756,Absent
757,757,Late
758,758,On Duty
759,759,On Duty
760,760,Late
761,761,Late
762,762,Present
763,763,On Duty
764,764,Late
765,765,Late
766,766,Absent
767,767,Present
768,768,Absent
769,769,Absent
770,770,Absent
771,771,Present
772,772,Late
773,773,Present
774,774,Absent
775,775,Present
776,776,Late
777,777,On Duty
778,778,Present
779,779,Present
780,780,Present
781,781,Present
782,782,Absent
783,783,On Duty
784,784,Absent
785,785,Absent
786,786,Present
787,787,Present
788,788,Present
789,789,Present
790,790,Absent
791,791,Present
792,792,Present
793,793,Absent
794,794,Present
795,795,Present
796,796,Absent
797,797,Absent
798,798,Present
799,799,Present
800,800,Absent
801,801,Present
802,802,Present
803,803,Present
804,804,Absent
805,805,Absent
806,806,Absent
807,807,Present
808,808,Absent
809,809,Absent
810,810,Absent
811,811,Present
812,812,Absent
813,813,Absent
814,814,Absent
815,815,Absent
816,816,Present
817,817,Absent
818,818,Present
819,819,Present
820,820,Present
821,821,Present
822,822,Present
823,823,Present
824,824,Absent
825,825,Absent
826,826,Present
827,827,Present
828,828,Present
829,829,Present
830,830,Present
831,831,Absent
832,832,Absent
833,833,Absent
834,834,Present
835,835,Present
836,836,Present
837,837,Absent
838,838,Present
839,839,Present
840,840,Absent
841,841,Absent
842,842,Present
843,843,Absent
844,844,Present
845,845,Present
846,846,Absent
847,847,Present
848,848,Absent
849,849,Present
850,850,Absent
851,851,Absent
852,852,Absent
853,853,Present
854,854,Absent
855,855,Absent
856,856,Absent
857,857,Present
858,858,Absent
859,859,Present
860,860,Present
861,861,Present
862,862,Absent
863,863,Absent
864,864,Present
865,865,Absent
866,866,Absent
867,867,Absent
868,868,Present
869,869,Present
870,870,Present
871,871,Present
872,872,Absent
873,873,Present
874,874,Absent
875,875,Present
876,876,Absent
877,877,Present
878,878,Absent
879,879,Present
880,880,Absent
881,881,Absent
882,882,Absent
883,883,Present
884,884,Present
885,885,Absent
886,886,Absent
887,887,Absent
888,888,Present
889,889,Present
890,890,Present
891,891,Present
892,892,Present
893,893,Present
894,894,Present
895,895,Present
896,896,Absent
897,897,Absent
898,898,Present
899,899,Present
900,900,Absent
901,901,Present
902,902,Present
903,903,Present
904,904,Absent
905,905,Present
906,906,Present
907,907,Absent
908,908,Present
909,909,Present
910,910,Present
911,911,Absent
912,912,Absent
913,913,Present
914,914,Absent
915,915,Present
916,916,Absent
917,917,Present
918,918,Present
919,919,Present
920,920,Absent
921,921,Present
922,922,Absent
923,923,Absent
924,924,Absent
925,925,Absent
926,926,Present
927,927,Present
928,928,Absent
929,929,Present
930,930,Absent
931,931,Present
932,932,Present
933,933,Absent
934,934,Present
935,935,Present
936,936,Present
937,937,Absent
938,938,Present
939,939,Present
940,940,Present
941,941,Absent
942,942,Absent
943,943,Present
944,944,Absent
945,945,Absent
946,946,Absent
947,947,Present
948,948,Present
949,949,Absent
950,950,Present
951,951,Present
952,952,Absent
953,953,Present
954,954,Absent
955,955,Present
956,956,Present
957,957,Absent
958,958,Absent
959,959,Absent
960,960,Present
961,961,Absent
962,962,Absent
963,963,Present
964,964,Absent
965,965,Absent
966,966,Absent
967,967,Absent
968,968,Present
969,969,Present
970,970,Absent
971,971,Absent
972,972,Present
973,973,Present
974,974,Present
975,975,Present
976,976,Absent
977,977,Absent
978,978,Present
979,979,Absent
980,980,Absent
981,981,Absent
982,982,Absent
983,983,Present
984,984,Present
