ResultID,ExamID,Marks,Grade,ResultStatus
212,212,57.0,D,Pass
213,213,84.0,A,Pass
214,214,90.0,O,Pass
215,215,26.0,F,Fail
216,216,,,Pending
217,217,,,Pending
218,218,36.0,F,Fail
219,219,84.0,A,Pass
220,220,,,Pending
221,221,77.0,B,Pass
222,222,,,Pending
223,223,,,Pending
224,224,,,Pending
225,225,54.0,D,Pass
226,226,,,Pending
227,227,,,Pending
228,228,,,Pending
229,229,57.0,D,Pass
230,230,,,Pending
231,231,,,Pending
232,232,42.0,E,Pass
233,233,,,Pending
234,234,,,Pending
235,235,,,Pending
236,236,,,Pending
237,237,27.0,F,Fail
238,238,,,Pending
239,239,71.0,B,Pass
240,240,,,Pending
241,241,,,Pending
242,242,,,Pending
243,243,,,Pending
244,244,,,Pending
245,245,,,Pending
246,246,,,Pending
247,247,,,Pending
248,248,,,Pending
249,249,,,Pending
250,250,,,Pending
251,251,,,Pending
252,252,,,Pending
253,253,89.0,A,Pass
254,254,99.0,O,Pass
255,255,,,Pending
256,256,49.0,E,Pass
257,257,,,Pending
258,258,96.0,O,Pass
259,259,,,Pending
260,260,,,Pending
261,261,,,Pending
262,262,72.0,B,Pass
263,263,,,Pending
264,264,38.0,F,Fail
265,265,75.0,B,Pass
266,266,,,Pending
267,267,64.0,C,Pass
268,268,,,Pending
269,269,70.0,B,Pass
270,270,,,Pending
271,271,,,Pending
272,272,,,Pending
273,273,92.0,O,Pass
274,274,23.0,F,Fail
275,275,,,Pending
276,276,,,Pending
277,277,,,Pending
278,278,,,Pending
279,279,,,Pending
280,280,,,Pending
281,281,84.0,A,Pass
282,282,,,Pending
283,283,,,Pending
284,284,,,Pending
285,285,,,Pending
286,286,,,Pending
287,287,,,Pending
288,288,,,Pending
289,289,22.0,F,Fail
290,290,,,Pending
291,291,,,Pending
292,292,,,Pending
293,293,43.0,E,Pass
294,294,87.0,A,Pass
295,295,,,Pending
296,296,,,Pending
297,297,,,Pending
298,298,,,Pending
299,299,33.0,F,Fail
300,300,,,Pending
301,301,,,Pending
302,302,,,Pending
303,303,,,Pending
304,304,,,Pending
305,305,,,Pending
306,306,,,Pending
307,307,38.0,F,Fail
308,308,51.0,D,Pass
309,309,,,Pending
310,310,68.0,C,Pass
311,311,,,Pending
312,312,51.0,D,Pass
313,313,,,Pending
314,314,92.0,O,Pass
315,315,,,Pending
316,316,,,Pending
317,317,,,Pending
318,318,,,Pending
319,319,,,Pending
320,320,,,Pending
321,321,,,Pending
322,322,,,Pending
323,323,,,Pending
324,324,,,Pending
325,325,,,Pending
326,326,88.0,A,Pass
327,327,,,Pending
328,328,42.0,E,Pass
329,329,,,Pending
330,330,,,Pending
331,331,67.0,C,Pass
332,332,,,Pending
333,333,79.0,B,Pass
334,334,48.0,E,Pass
335,335,29.0,F,Fail
336,336,,,Pending
337,337,,,Pending
338,338,90.0,O,Pass
339,339,,,Pending
340,340,,,Pending
341,341,,,Pending
342,342,,,Pending
343,343,78.0,B,Pass
344,344,37.0,F,Fail
345,345,,,Pending
346,346,76.0,B,Pass
347,347,,,Pending
348,348,32.0,F,Fail
349,349,,,Pending
350,350,77.0,B,Pass
351,351,52.0,D,Pass
352,352,65.0,C,Pass
353,353,,,Pending
354,354,100.0,O,Pass
355,355,,,Pending
356,356,,,Pending
357,357,,,Pending
358,358,,,Pending
359,359,,,Pending
360,360,,,Pending
361,361,,,Pending
362,362,,,Pending
363,363,,,Pending
364,364,,,Pending
365,365,,,Pending
366,366,,,Pending
367,367,,,Pending
368,368,,,Pending
369,369,67.0,C,Pass
370,370,62.0,C,Pass
371,371,87.0,A,Pass
372,372,,,Pending
373,373,,,Pending
374,374,27.0,F,Fail
375,375,,,Pending
376,376,82.0,A,Pass
377,377,,,Pending
378,378,,,Pending
379,379,,,Pending
380,380,,,Pending
381,381,,,Pending
382,382,48.0,E,Pass
383,383,,,Pending
384,384,,,Pending
385,385,,,Pending
386,386,,,Pending
387,387,52.0,D,Pass
388,388,,,Pending
389,389,,,Pending
390,390,,,Pending
391,391,44.0,E,Pass
392,392,78.0,B,Pass
393,393,47.0,E,Pass
394,394,,,Pending
395,395,,,Pending
396,396,,,Pending
397,397,,,Pending
398,398,51.0,D,Pass
399,399,,,Pending
400,400,49.0,E,Pass
401,401,,,Pending
402,402,,,Pending
403,403,,,Pending
404,404,,,Pending
405,405,43.0,E,Pass
406,406,88.0,A,Pass
407,407,,,Pending
408,408,,,Pending
409,409,,,Pending
410,410,,,Pending
411,411,33.0,F,Fail
412,412,,,Pending
413,413,,,Pending
414,414,,,Pending
415,415,,,Pending
416,416,,,Pending
417,417,43.0,E,Pass
418,418,88.0,A,Pass
419,419,,,Pending
420,420,,,Pending
421,421,,,Pending
422,422,,,Pending
423,423,33.0,F,Fail
424,424,,,Pending
425,425,,,Pending
426,426,,,Pending
427,427,,,Pending
428,428,,,Pending
429,429,,,Pending
430,430,,,Pending
431,431,39.0,F,Fail
432,432,51.0,D,Pass
433,433,,,Pending
434,434,68.0,C,Pass
435,435,,,Pending
436,436,51.0,D,Pass
437,437,,,Pending
438,438,92.0,O,Pass
439,439,,,Pending
440,440,,,Pending
441,441,,,Pending
442,442,,,Pending
443,443,,,Pending
444,444,,,Pending
445,445,,,Pending
446,446,,,Pending
447,447,,,Pending
448,448,,,Pending
449,449,,,Pending
450,450,88.0,A,Pass
451,451,,,Pending
452,452,42.0,E,Pass
453,453,,,Pending
454,454,,,Pending
455,455,67.0,C,Pass
456,456,,,Pending
457,457,79.0,B,Pass
458,458,48.0,E,Pass
459,459,30.0,F,Fail
460,460,,,Pending
461,461,,,Pending
462,462,90.0,O,Pass
463,463,,,Pending
464,464,,,Pending
465,465,43.0,E,Pass
466,466,88.0,A,Pass
467,467,,,Pending
468,468,,,Pending
469,469,,,Pending
470,470,,,Pending
471,471,33.0,F,Fail
472,472,,,Pending
473,473,,,Pending
474,474,,,Pending
475,475,,,Pending
476,476,,,Pending
477,477,,,Pending
478,478,,,Pending
479,479,39.0,F,Fail
480,480,51.0,D,Pass
481,481,,,Pending
482,482,68.0,C,Pass
483,483,,,Pending
484,484,51.0,D,Pass
485,485,,,Pending
486,486,92.0,O,Pass
487,487,,,Pending
488,488,,,Pending
489,489,,,Pending
490,490,,,Pending
491,491,,,Pending
492,492,,,Pending
493,493,,,Pending
494,494,,,Pending
495,495,,,Pending
496,496,,,Pending
497,497,,,Pending
498,498,88.0,A,Pass
499,499,,,Pending
500,500,42.0,E,Pass
501,501,,,Pending
502,502,,,Pending
503,503,67.0,C,Pass
504,504,,,Pending
505,505,79.0,B,Pass
506,506,48.0,E,Pass
507,507,30.0,F,Fail
508,508,,,Pending
509,509,43.0,E,Pass
510,510,88.0,A,Pass
511,511,,,Pending
512,512,,,Pending
513,513,,,Pending
514,514,,,Pending
515,515,33.0,F,Fail
516,516,,,Pending
517,517,,,Pending
518,518,,,Pending
519,519,,,Pending
520,520,,,Pending
521,521,,,Pending
522,522,,,Pending
523,523,39.0,F,Fail
524,524,51.0,D,Pass
525,525,,,Pending
526,526,68.0,C,Pass
527,527,,,Pending
528,528,51.0,D,Pass
529,529,,,Pending
530,530,92.0,O,Pass
531,531,,,Pending
532,532,,,Pending
533,533,,,Pending
534,534,,,Pending
535,535,,,Pending
536,536,,,Pending
537,537,,,Pending
538,538,,,Pending
539,539,,,Pending
540,540,,,Pending
541,541,,,Pending
542,542,88.0,A,Pass
543,543,,,Pending
544,544,42.0,E,Pass
545,545,,,Pending
546,546,,,Pending
547,547,67.0,C,Pass
548,548,,,Pending
549,549,79.0,B,Pass
550,550,48.0,E,Pass
551,551,30.0,F,Fail
552,552,,,Pending
553,553,,,Pending
554,554,90.0,O,Pass
555,555,,,Pending
556,556,,,Pending
557,557,,,Pending
558,558,,,Pending
559,559,79.0,B,Pass
560,560,37.0,F,Fail
561,561,,,Pending
562,562,77.0,B,Pass
563,563,,,Pending
564,564,,,Pending
565,565,,,Pending
566,566,,,Pending
567,567,52.0,D,Pass
568,568,65.0,C,Pass
569,569,,,Pending
570,570,100.0,O,Pass
571,571,,,Pending
572,572,,,Pending
573,573,,,Pending
574,574,,,Pending
575,575,,,Pending
576,576,,,Pending
577,577,,,Pending
578,578,,,Pending
579,579,,,Pending
580,580,,,Pending
581,581,,,Pending
582,582,,,Pending
583,583,,,Pending
584,584,,,Pending
585,585,68.0,C,Pass
586,586,62.0,C,Pass
587,587,87.0,A,Pass
588,588,,,Pending
589,589,,,Pending
590,590,28.0,F,Fail
591,591,,,Pending
592,592,43.0,E,Pass
593,593,88.0,A,Pass
594,594,,,Pending
595,595,,,Pending
596,596,,,Pending
597,597,,,Pending
598,598,33.0,F,Fail
599,599,,,Pending
600,600,,,Pending
601,601,,,Pending
602,602,,,Pending
603,603,,,Pending
604,604,,,Pending
605,605,,,Pending
606,606,39.0,F,Fail
607,607,51.0,D,Pass
608,608,,,Pending
609,609,,,Pending
610,610,43.0,E,Pass
611,611,88.0,A,Pass
612,612,,,Pending
613,613,,,Pending
614,614,,,Pending
615,615,,,Pending
616,616,33.0,F,Fail
617,617,,,Pending
618,618,,,Pending
619,619,,,Pending
620,620,,,Pending
621,621,,,Pending
622,622,,,Pending
623,623,,,Pending
624,624,39.0,F,Fail
625,625,51.0,D,Pass
626,626,,,Pending
627,627,68.0,C,Pass
628,628,,,Pending
629,629,51.0,D,Pass
630,630,,,Pending
631,631,92.0,O,Pass
632,632,,,Pending
633,633,,,Pending
634,634,,,Pending
635,635,,,Pending
636,636,,,Pending
637,637,,,Pending
638,638,,,Pending
639,639,,,Pending
640,640,,,Pending
641,641,,,Pending
642,642,,,Pending
643,643,88.0,A,Pass
644,644,,,Pending
645,645,42.0,E,Pass
646,646,,,Pending
647,647,,,Pending
648,648,67.0,C,Pass
649,649,,,Pending
650,650,79.0,B,Pass
651,651,48.0,E,Pass
652,652,30.0,F,Fail
653,653,,,Pending
654,654,,,Pending
655,655,90.0,O,Pass
656,656,,,Pending
657,657,,,Pending
658,658,,,Pending
659,659,,,Pending
660,660,79.0,B,Pass
661,661,37.0,F,Fail
662,662,,,Pending
663,663,77.0,B,Pass
664,664,,,Pending
665,665,,,Pending
666,666,,,Pending
667,667,,,Pending
668,668,52.0,D,Pass
669,669,65.0,C,Pass
670,670,,,Pending
671,671,100.0,O,Pass
672,672,,,Pending
673,673,,,Pending
674,674,,,Pending
675,675,,,Pending
676,676,,,Pending
677,677,,,Pending
678,678,,,Pending
679,679,,,Pending
680,680,,,Pending
681,681,,,Pending
682,682,,,Pending
683,683,,,Pending
684,684,,,Pending
685,685,,,Pending
686,686,68.0,C,Pass
687,687,62.0,C,Pass
688,688,87.0,A,Pass
689,689,,,Pending
690,690,,,Pending
691,691,28.0,F,Fail
692,692,,,Pending
693,693,83.0,A,Pass
694,694,,,Pending
695,695,,,Pending
696,696,,,Pending
697,697,,,Pending
698,698,,,Pending
699,699,49.0,E,Pass
700,700,,,Pending
701,701,,,Pending
702,702,,,Pending
703,703,,,Pending
704,704,53.0,D,Pass
705,705,,,Pending
706,706,,,Pending
707,707,,,Pending
708,708,44.0,E,Pass
709,709,78.0,B,Pass
710,710,47.0,E,Pass
711,711,,,Pending
712,712,,,Pending
713,713,,,Pending
714,714,,,Pending
715,715,51.0,D,Pass
716,716,,,Pending
717,717,50.0,D,Pass
718,718,,,Pending
719,719,,,Pending
720,720,,,Pending
721,721,,,Pending
722,722,,,Pending
723,723,,,Pending
724,724,,,Pending
725,725,,,Pending
726,726,,,Pending
727,727,,,Pending
728,728,44.0,E,Pass
729,729,,,Pending
730,730,,,Pending
731,731,,,Pending
732,732,,,Pending
733,733,,,Pending
734,734,,,Pending
735,735,,,Pending
736,736,,,Pending
737,737,,,Pending
738,738,,,Pending
739,739,36.0,F,Fail
740,740,,,Pending
741,741,,,Pending
742,742,,,Pending
743,743,97.0,O,Pass
744,744,,,Pending
745,745,53.0,D,Pass
746,746,,,Pending
747,747,74.0,B,Pass
748,748,,,Pending
749,749,,,Pending
750,750,,,Pending
751,751,85.0,A,Pass
752,752,,,Pending
753,753,,,Pending
754,754,,,Pending
755,755,,,Pending
756,756,61.0,C,Pass
757,757,61.0,C,Pass
758,758,,,Pending
759,759,40.0,E,Pass
760,760,,,Pending
761,761,,,Pending
762,762,82.0,A,Pass
763,763,,,Pending
764,764,,,Pending
765,765,,,Pending
766,766,57.0,D,Pass
767,767,44.0,E,Pass
768,768,78.0,B,Pass
769,769,47.0,E,Pass
770,770,90.0,O,Pass
771,771,27.0,F,Fail
772,772,,,Pending
773,773,,,Pending
774,774,,,Pending
775,775,,,Pending
776,776,,,Pending
777,777,,,Pending
778,778,,,Pending
779,779,,,Pending
780,780,,,Pending
781,781,,,Pending
782,782,,,Pending
783,783,,,Pending
784,784,,,Pending
785,785,88.0,A,Pass
786,786,40.0,E,Pass
787,787,91.0,O,Pass
788,788,51.0,D,Pass
789,789,57.0,D,Pass
790,790,39.0,F,Fail
791,791,93.0,O,Pass
792,792,88.0,A,Pass
793,793,70.0,B,Pass
794,794,85.0,A,Pass
795,795,67.0,C,Pass
796,796,53.0,D,Pass
797,797,97.0,O,Pass
798,798,53.0,D,Pass
799,799,75.0,B,Pass
800,800,87.0,A,Pass
801,801,60.0,C,Pass
802,802,39.0,F,Fail
803,803,49.0,E,Pass
804,804,68.0,C,Pass
805,805,41.0,E,Pass
806,806,36.0,F,Fail
807,807,65.0,C,Pass
808,808,100.0,O,Pass
809,809,95.0,O,Pass
810,810,95.0,O,Pass
811,811,64.0,C,Pass
812,812,77.0,B,Pass
813,813,91.0,O,Pass
814,814,82.0,A,Pass
815,815,75.0,B,Pass
816,816,94.0,O,Pass
817,817,92.0,O,Pass
818,818,35.0,F,Fail
819,819,60.0,C,Pass
820,820,82.0,A,Pass
821,821,45.0,E,Pass
822,822,43.0,E,Pass
823,823,73.0,B,Pass
824,824,50.0,D,Pass
825,825,100.0,O,Pass
826,826,88.0,A,Pass
827,827,47.0,E,Pass
828,828,98.0,O,Pass
829,829,66.0,C,Pass
830,830,96.0,O,Pass
831,831,99.0,O,Pass
832,832,88.0,A,Pass
833,833,58.0,D,Pass
834,834,52.0,D,Pass
835,835,63.0,C,Pass
836,836,85.0,A,Pass
837,837,45.0,E,Pass
838,838,63.0,C,Pass
839,839,98.0,O,Pass
840,840,93.0,O,Pass
841,841,61.0,C,Pass
842,842,54.0,D,Pass
843,843,86.0,A,Pass
844,844,85.0,A,Pass
845,845,96.0,O,Pass
846,846,48.0,E,Pass
847,847,96.0,O,Pass
848,848,35.0,F,Fail
849,849,88.0,A,Pass
850,850,82.0,A,Pass
851,851,94.0,O,Pass
852,852,42.0,E,Pass
853,853,59.0,D,Pass
854,854,89.0,A,Pass
855,855,53.0,D,Pass
856,856,52.0,D,Pass
857,857,42.0,E,Pass
858,858,94.0,O,Pass
859,859,36.0,F,Fail
860,860,75.0,B,Pass
861,861,55.0,D,Pass
862,862,100.0,O,Pass
863,863,94.0,O,Pass
864,864,73.0,B,Pass
865,865,37.0,F,Fail
866,866,100.0,O,Pass
867,867,37.0,F,Fail
868,868,67.0,C,Pass
869,869,96.0,O,Pass
870,870,73.0,B,Pass
871,871,62.0,C,Pass
872,872,100.0,O,Pass
873,873,88.0,A,Pass
874,874,89.0,A,Pass
875,875,58.0,D,Pass
876,876,80.0,A,Pass
877,877,100.0,O,Pass
878,878,58.0,D,Pass
879,879,61.0,C,Pass
880,880,92.0,O,Pass
881,881,39.0,F,Fail
882,882,60.0,C,Pass
883,883,57.0,D,Pass
884,884,69.0,C,Pass
885,885,79.0,B,Pass
886,886,79.0,B,Pass
887,887,100.0,O,Pass
888,888,85.0,A,Pass
889,889,61.0,C,Pass
890,890,82.0,A,Pass
891,891,37.0,F,Fail
892,892,57.0,D,Pass
893,893,59.0,D,Pass
894,894,59.0,D,Pass
895,895,76.0,B,Pass
896,896,73.0,B,Pass
897,897,94.0,O,Pass
898,898,94.0,O,Pass
899,899,100.0,O,Pass
900,900,48.0,E,Pass
901,901,40.0,E,Pass
902,902,85.0,A,Pass
903,903,83.0,A,Pass
904,904,66.0,C,Pass
905,905,74.0,B,Pass
906,906,83.0,A,Pass
907,907,36.0,F,Fail
908,908,62.0,C,Pass
909,909,57.0,D,Pass
910,910,49.0,E,Pass
911,911,95.0,O,Pass
912,912,49.0,E,Pass
913,913,47.0,E,Pass
914,914,66.0,C,Pass
915,915,63.0,C,Pass
916,916,39.0,F,Fail
917,917,37.0,F,Fail
918,918,39.0,F,Fail
919,919,38.0,F,Fail
920,920,70.0,B,Pass
921,921,54.0,D,Pass
922,922,85.0,A,Pass
923,923,83.0,A,Pass
924,924,66.0,C,Pass
925,925,88.0,A,Pass
926,926,39.0,F,Fail
927,927,80.0,A,Pass
928,928,71.0,B,Pass
929,929,41.0,E,Pass
930,930,51.0,D,Pass
931,931,58.0,D,Pass
932,932,58.0,D,Pass
933,933,46.0,E,Pass
934,934,62.0,C,Pass
935,935,35.0,F,Fail
936,936,48.0,E,Pass
937,937,43.0,E,Pass
938,938,100.0,O,Pass
939,939,74.0,B,Pass
940,940,35.0,F,Fail
941,941,99.0,O,Pass
942,942,69.0,C,Pass
943,943,97.0,O,Pass
944,944,87.0,A,Pass
945,945,80.0,A,Pass
946,946,62.0,C,Pass
947,947,78.0,B,Pass
948,948,75.0,B,Pass
949,949,40.0,E,Pass
950,950,61.0,C,Pass
951,951,45.0,E,Pass
952,952,74.0,B,Pass
953,953,46.0,E,Pass
954,954,78.0,B,Pass
955,955,49.0,E,Pass
956,956,50.0,D,Pass
957,957,35.0,F,Fail
958,958,94.0,O,Pass
959,959,92.0,O,Pass
960,960,46.0,E,Pass
961,961,37.0,F,Fail
962,962,91.0,O,Pass
963,963,65.0,C,Pass
964,964,79.0,B,Pass
965,965,79.0,B,Pass
966,966,37.0,F,Fail
967,967,41.0,E,Pass
968,968,87.0,A,Pass
969,969,66.0,C,Pass
970,970,59.0,D,Pass
971,971,63.0,C,Pass
972,972,57.0,D,Pass
973,973,92.0,O,Pass
974,974,99.0,O,Pass
975,975,41.0,E,Pass
976,976,50.0,D,Pass
977,977,95.0,O,Pass
978,978,96.0,O,Pass
979,979,74.0,B,Pass
980,980,88.0,A,Pass
981,981,79.0,B,Pass
982,982,67.0,C,Pass
983,983,63.0,C,Pass
984,984,63.0,C,Pass
